#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-402896.40805182327,99.87766773888693,238.21970577109477
200,-389952.36898932327,165.48047475267998,238.21970577109477
300,-381038.44711432327,208.67131997733037,238.21970577109477
400,-375170.55648932327,236.46227683029588,238.21970577109477
500,-370805.94711432327,256.3288831323155,238.21970577109477
600,-366402.00180182327,267.29833134577547,238.21970577109477
700,-365198.08773932327,279.3294784707398,238.21970577109477
800,-363365.50180182327,284.42874102905307,238.21970577109477
900,-362461.18148932327,289.8794214660204,238.21970577109477
1000,-359790.52523932327,288.82083092569445,238.21970577109477
1100,-359396.03305182327,295.0913475866299,238.21970577109477
1200,-359321.17367682327,300.7711521619758,238.21970577109477
1300,-357957.87680182327,296.6244116775975,238.21970577109477
1400,-358454.56430182327,299.69061582466884,238.21970577109477
1500,-357745.80648932327,296.63109739200826,238.21970577109477
1600,-357575.50180182327,295.64648950702735,238.21970577109477
1700,-357448.59555182327,300.65101568560743,238.21970577109477
1800,-357541.57992682327,300.490912091039,238.21970577109477
1900,-358090.95492682327,302.9231455563679,238.21970577109477
2000,-357772.74398932327,301.0545237984823,238.21970577109477
2100,-357548.26742682327,300.4524255044655,238.21970577109477
2200,-357933.15023932327,302.2609581595152,238.21970577109477
2300,-357838.32992682327,302.7898079671315,238.21970577109477
2400,-357900.84555182327,303.68899800500907,238.21970577109477
2500,-357347.37680182327,299.25727440028146,238.21970577109477
2600,-357986.25180182327,302.6323960111533,238.21970577109477
2700,-357454.97836432327,301.5635471484719,238.21970577109477
2800,-357940.78305182327,303.0619520593002,238.21970577109477
2900,-358339.94711432327,306.7159354156519,238.21970577109477
3000,-358747.83773932327,302.96918019847027,238.21970577109477
3100,-358094.15023932327,301.34166046424536,238.21970577109477
3200,-357630.63461432327,302.35450814938673,238.21970577109477
3300,-357570.85336432327,302.82050627217154,238.21970577109477
3400,-358236.43148932327,304.409744151611,238.21970577109477
